nome,cpf,rg,data_nasc,sexo,numero,celular,grau,idLogr,idInsto
Isadora Mariah Rafaela Gomes,180.031.565-13,49.486.357-2,1948-04-09,F,770,(51) 99332-8310,1,260,5
Guilherme Manuel Juan Barros,815.541.831-62,27.598.035-2,1947-06-10,M,984,(91) 98613-7322,3,389,1
Caleb João Assis,232.607.471-84,17.094.231-4,1970-01-24,M,189,(85) 98465-7384,2,179,9
Lívia Andrea da Cunha,503.515.503-05,22.867.137-1,1974-02-17,F,243,(67) 98984-6347,2,342,9
Heitor Leonardo Erick Rocha,602.685.229-87,13.984.870-8,1993-01-04,M,982,(71) 99297-9210,2,438,9
Aline Mariah Mendes,483.043.126-11,47.144.035-8,1963-05-04,F,698,(35) 98418-8054,1,136,3
Carlos Eduardo Márcio Benício da Mota,766.534.614-67,50.311.017-6,1952-03-12,M,291,(98) 98388-3369,3,262,1
Renato José Galvão,070.390.134-60,42.472.235-5,1958-02-22,M,827,(61) 98984-3752,1,441,3
Antonio Bernardo Corte Real,280.718.536-31,24.809.334-4,2002-02-13,M,754,(62) 98924-6388,4,482,4
Osvaldo Ricardo Sérgio Araújo,764.970.905-17,39.718.344-6,1979-02-24,M,821,(68) 98785-9018,1,109,2
