nome,cpf,rg,data_nasc,numero,celular,grau,Column1.sexo
Tatiane Betina Rezende,842.540.084-81,17.035.203-1,1990-03-24,359,(69) 98481-8155,4,F
Pietro Theo dos Santos,775.336.312-34,21.353.072-7,1998-03-13,571,(83) 99399-4655,2,M
Josefa Melissa Rodrigues,578.838.621-70,34.777.861-6,1997-06-09,104,(67) 98610-6877,3,F
Eduardo Gustavo Nicolas Farias,629.509.890-80,12.980.418-6,1995-03-22,351,(84) 99211-2123,4,M
Sophie Lara Lima,982.721.179-08,42.735.720-2,1990-03-05,172,(85) 98288-3257,3,F
Eduarda Bárbara Emily Pereira,188.598.730-70,28.664.578-6,1990-06-08,596,(11) 98580-8554,4,F
Carolina Cláudia Almeida,346.277.056-03,47.396.365-6,1990-05-16,226,(27) 98128-3327,3,F
Bruna Louise Gabriela Moura,552.175.479-28,26.682.259-9,1990-04-23,549,(83) 99741-4282,1,F
Mariana Sarah Luiza da Rocha,696.779.848-02,46.214.601-7,1990-03-11,533,(84) 98428-6353,1,F
Aparecida Evelyn Emily Dias,078.732.276-85,45.045.089-2,1990-03-21,814,(31) 98467-2528,4,F
Eloá Isabel Silvana da Paz,938.719.166-41,23.452.642-7,1990-01-21,575,(98) 98512-2212,1,F
Isis Valentina Moraes,952.891.601-59,40.408.153-8,1990-04-18,897,(67) 99996-3979,3,F
Luís Antonio Teixeira,778.024.560-88,43.083.204-7,1990-04-23,842,(79) 98422-7038,4,M
Thales Ruan Heitor da Cruz,231.374.432-96,46.916.818-3,1990-06-02,316,(82) 98893-0540,4,M
Luna Andreia Souza,270.812.480-39,23.240.572-4,1990-04-24,879,(81) 98759-1670,1,F
Daniela Renata Drumond,088.612.327-52,11.739.761-1,1990-02-07,648,(54) 99514-7660,3,F
Renan Ryan Figueiredo,024.244.277-39,18.878.854-2,1990-04-20,969,(88) 98753-1383,1,M
Vinicius Victor Vieira,593.165.502-62,37.331.699-9,1990-06-02,522,(98) 98883-1171,4,M
Débora Emilly Luiza Almada,839.062.521-08,42.036.423-7,1990-06-11,804,(28) 98759-3364,3,F
Enzo Mateus Kauê Barbosa,197.809.418-35,23.929.635-7,1990-06-10,216,(69) 98579-2809,1,M
Caleb Hugo Felipe Nascimento,739.712.691-09,16.747.220-3,1990-04-02,451,(27) 98678-4181,3,M
Bento Marcos Vinicius Marcelo Silva,414.452.103-63,23.194.151-1,1990-04-09,986,(67) 98799-4535,2,M
Francisco Tiago Hugo Pires,349.352.986-42,38.455.843-4,1990-04-03,179,(51) 99705-5490,4,M
Natália Alice da Mota,552.560.821-91,38.853.859-4,1990-06-05,683,(98) 98217-2389,1,F
Enzo Francisco Márcio Lopes,858.016.055-33,20.835.201-6,1990-01-01,319,(51) 98234-2032,2,M
Marcos Matheus Aragão,659.853.163-27,47.222.158-9,1990-04-16,925,(98) 99847-2049,3,M
Pietro Geraldo Galvão,743.905.141-64,26.868.552-6,1990-01-12,747,(69) 98234-3012,4,M
Caleb Luan Nogueira,124.774.625-98,43.481.375-8,1990-04-09,861,(69) 98835-1197,3,M
Lara Renata Bernardes,168.577.443-19,42.569.816-6,1990-03-09,244,(55) 99615-9888,3,F
Patrícia Lorena Moreira,044.410.453-44,50.845.368-9,1990-03-11,806,(65) 98119-2423,2,F
